Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Right,Turning,Occlusion,Glitch;Buffer;;
Vid1_0001.png;1;Zebrafish;1557;1416;1883;1510;1,0,0,0;0;;
Vid1_0002.png;1;Zebrafish;1556;1414;1885;1513;1,0,0,0;0;;
Vid1_0003.png;1;Zebrafish;1553;1412;1883;1501;1,0,0,0;0;;
Vid1_0004.png;1;Zebrafish;1600;1407;1870;1493;1,0,0,0;0;;
Vid1_0005.png;1;Zebrafish;1593;1396;1869;1497;1,0,0,0;0;;
Vid1_0006.png;1;Zebrafish;1593;1396;1869;1497;1,0,0,0;0;;
Vid1_0007.png;1;Zebrafish;1592;1396;1866;1497;1,0,0,0;0;;
Vid1_0015.png;1;Zebrafish;1599;1375;1899;1482;0,0,0,0;0;;
Vid1_0016.png;1;Zebrafish;1597;1375;1900;1482;0,0,0,0;0;;
Vid1_0017.png;1;Zebrafish;1568;1364;1898;1476;0,0,0,0;0;;
Vid1_0018.png;1;Zebrafish;1550;1365;1867;1466;0,0,0,0;0;;
Vid1_0019.png;1;Zebrafish;1536;1365;1848;1470;0,0,0,0;0;;
Vid1_0020.png;1;Zebrafish;1521;1364;1856;1476;0,0,0,0;0;;
Vid1_0021.png;1;Zebrafish;1509;1365;1856;1477;0,0,0,0;0;;
Vid1_0022.png;1;Zebrafish;1496;1366;1846;1478;0,0,0,0;0;;
Vid1_0024.png;1;Zebrafish;1483;1369;1838;1480;0,0,0,0;0;;
Vid1_0025.png;1;Zebrafish;1466;1374;1822;1490;0,0,0,0;0;;
Vid1_0026.png;1;Zebrafish;1462;1374;1815;1487;0,0,0,0;0;;
Vid1_0027.png;1;Zebrafish;1462;1374;1812;1486;0,0,0,0;0;;
Vid1_0028.png;1;Zebrafish;1441;1374;1794;1490;0,0,0,0;0;;
Vid1_0029.png;1;Zebrafish;1428;1374;1782;1494;0,0,0,0;0;;
Vid1_0030.png;1;Zebrafish;1431;1374;1785;1494;0,0,0,0;0;;
Vid1_0031.png;1;Zebrafish;1406;1375;1755;1496;0,0,0,0;0;;
Vid1_0032.png;1;Zebrafish;1395;1376;1754;1501;0,0,0,0;0;;
Vid1_0033.png;1;Zebrafish;1388;1378;1746;1506;0,0,0,0;0;;
Vid1_0014.png;1;Zebrafish;1599;1375;1899;1482;0,0,0,0;0;;
Vid1_0034.png;1;Zebrafish;1378;1379;1736;1507;0,0,0,0;0;;
Vid1_0035.png;1;Zebrafish;1380;1379;1737;1507;0,0,0,0;0;;
Vid1_0036.png;1;Zebrafish;1364;1375;1721;1508;0,0,0,0;0;;
Vid1_0038.png;1;Zebrafish;1352;1371;1703;1500;0,0,0,0;0;;
Vid1_0039.png;1;Zebrafish;1342;1368;1702;1506;0,0,0,0;0;;
Vid1_0040.png;1;Zebrafish;1340;1366;1696;1504;0,0,0,0;0;;
Vid1_0041.png;1;Zebrafish;1335;1365;1691;1501;0,0,0,0;0;;
Vid1_0042.png;1;Zebrafish;1336;1365;1691;1501;0,0,0,0;0;;
Vid1_0043.png;1;Zebrafish;1326;1365;1676;1500;0,0,0,0;0;;
Vid1_0044.png;1;Zebrafish;1319;1366;1677;1506;0,0,0,0;0;;
Vid1_0045.png;1;Zebrafish;1315;1367;1672;1507;0,0,0,0;0;;
Vid1_0046.png;1;Zebrafish;1314;1368;1669;1506;0,0,0,0;0;;
Vid1_0047.png;1;Zebrafish;1311;1368;1666;1508;0,0,0,0;0;;
Vid1_0048.png;1;Zebrafish;1311;1368;1666;1508;0,0,0,0;0;;
Vid1_0049.png;1;Zebrafish;1311;1365;1657;1507;0,0,0,0;0;;
Vid1_0050.png;1;Zebrafish;1307;1364;1661;1510;0,0,0,0;0;;
Vid1_0051.png;1;Zebrafish;1304;1364;1658;1507;0,0,0,0;0;;
Vid1_0052.png;1;Zebrafish;1304;1364;1657;1507;0,0,0,0;0;;
Vid1_0053.png;1;Zebrafish;1302;1364;1657;1506;0,0,0,0;0;;
Vid1_0054.png;1;Zebrafish;1301;1362;1654;1502;0,0,0,0;0;;
Vid1_0055.png;1;Zebrafish;1301;1362;1654;1502;0,0,0,0;0;;
Vid1_0056.png;1;Zebrafish;1301;1362;1655;1502;0,0,0,0;0;;
Vid1_0057.png;1;Zebrafish;1298;1360;1651;1496;0,0,0,0;0;;
Vid1_0058.png;1;Zebrafish;1297;1359;1653;1494;0,0,0,0;0;;
Vid1_0059.png;1;Zebrafish;1297;1359;1650;1491;0,0,0,0;0;;
Vid1_0060.png;1;Zebrafish;1296;1356;1650;1489;0,0,0,0;0;;
